"","X","taxon","latitude","longitude","type","RValue","longitude.1","latitude.1","optional"
"1",1,"Cucurbita_cordata",28.9547,-113.5625,"G",130,-113.5625,28.9547,TRUE
"2",2,"Cucurbita_cordata",24.2857661,-111.0109816,"H",101,-111.0109816,24.2857661,TRUE
"3",3,"Cucurbita_cordata",25.9346977,-111.5421361,"H",72,-111.5421361,25.9346977,TRUE
"4",4,"Cucurbita_cordata",25.947488,-111.7300052,"H",77,-111.7300052,25.947488,TRUE
"5",5,"Cucurbita_cordata",25.9576506,-111.4609177,"H",20,-111.4609177,25.9576506,TRUE
"6",6,"Cucurbita_cordata",26.206709,-111.617512,"H",16,-111.617512,26.206709,TRUE
"7",7,"Cucurbita_cordata",26.456451,-111.648485,"H",9,-111.648485,26.456451,TRUE
"8",8,"Cucurbita_cordata",26.802645,-112.0622982,"H",48,-112.0622982,26.802645,TRUE
"9",9,"Cucurbita_cordata",26.9105096,-112.045061,"H",113,-112.045061,26.9105096,TRUE
"10",10,"Cucurbita_cordata",26.9107262,-112.9822799,"H",22,-112.9822799,26.9107262,TRUE
"11",11,"Cucurbita_cordata",26.9156916,-113.7368987,"H",131,-113.7368987,26.9156916,TRUE
"12",12,"Cucurbita_cordata",27.015153,-114.042982,"H",15,-114.042982,27.015153,TRUE
"13",13,"Cucurbita_cordata",27.164634,-113.4654046,"H",39,-113.4654046,27.164634,TRUE
"14",14,"Cucurbita_cordata",27.2762613,-113.191559,"H",135,-113.191559,27.2762613,TRUE
"15",15,"Cucurbita_cordata",27.424452,-113.4380353,"H",123,-113.4380353,27.424452,TRUE
"16",16,"Cucurbita_cordata",27.8434911,-114.0275069,"H",56,-114.0275069,27.8434911,TRUE
"17",17,"Cucurbita_cordata",28.0066751,-113.873446,"H",51,-113.873446,28.0066751,TRUE
"18",18,"Cucurbita_cordata",28.1474165,-113.6345345,"H",35,-113.6345345,28.1474165,TRUE
"19",19,"Cucurbita_cordata",28.516667,-113.75,"H",38,-113.75,28.516667,TRUE
"20",20,"Cucurbita_cordata",28.744103,-113.753451,"H",19,-113.753451,28.744103,TRUE
"21",21,"Cucurbita_cordata",28.744103,-113.753451,"H",47,-113.753451,28.744103,TRUE
"22",22,"Cucurbita_cordata",28.744103,-113.753451,"H",52,-113.753451,28.744103,TRUE
"23",23,"Cucurbita_cordata",28.7700513,-113.4871398,"H",115,-113.4871398,28.7700513,TRUE
"24",24,"Cucurbita_cordata",30.5622903,-115.0077914,"H",63,-115.0077914,30.5622903,TRUE
"25",25,"Cucurbita_cordata",31.666667,-115.95,"H",79,-115.95,31.666667,TRUE
"26",26,"Cucurbita_cordata",25.916667,-111.466667,"H",84,-111.466667,25.916667,TRUE
